"iter","beta","se","variable"
1,-0.57340869882917,0.219242532611298,"delta_RP_diff"
1,0.304521000578958,0.0528918788427874,"rain_cumdev_diff"
2,-0.203368085370879,0.221229780805151,"delta_RP_diff"
2,0.257064523463928,0.053399041390547,"rain_cumdev_diff"
3,0.11242627178183,0.224828137912904,"delta_RP_diff"
3,0.208200649035677,0.0548003340461326,"rain_cumdev_diff"
4,0.361240197490613,0.255016495481102,"delta_RP_diff"
4,0.190952825365075,0.0578787873209025,"rain_cumdev_diff"
5,0.0245334695746777,0.22051665233768,"delta_RP_diff"
5,0.380882323082694,0.0559606987293804,"rain_cumdev_diff"
6,0.269159602944343,0.221554249237798,"delta_RP_diff"
6,0.247277182300409,0.0566191998509496,"rain_cumdev_diff"
7,-0.311306955708532,0.280400227824505,"delta_RP_diff"
7,0.280674522970928,0.0549251356675616,"rain_cumdev_diff"
8,0.0441786017834324,0.233904457095206,"delta_RP_diff"
8,0.111619716894051,0.050220878856214,"rain_cumdev_diff"
9,-0.0341535232321066,0.216971069343214,"delta_RP_diff"
9,0.199417986149682,0.0543922589568786,"rain_cumdev_diff"
10,0.339109141612564,0.227495112360931,"delta_RP_diff"
10,0.168913956564312,0.0518021260797221,"rain_cumdev_diff"
